grades,toeic,tos,opic,foreign_lang,certificate,foreign_exp,intern,prize,volunteer,label
0,0,0,0,0,4,0,1,0,0,0
2.7,0,0,0,0,5,0,0,0,0,0
3.35,0,0,0,0,3,0,5,0,0,1
3.4,0,0,0,0,0,0,0,0,0,0
3.27,920,0,0,0,1,1,0,0,0,1
0,865,0,0,0,2,0,0,1,3,1
3.25,775,0,0,0,3,0,0,0,0,1
3.91,960,0,4,1,1,0,0,0,0,1
4.14,0,0,0,0,0,0,0,0,0,0
3.5,630,0,0,0,2,0,0,2,1,1
0,0,0,0,0,2,0,0,0,0,0
3.85,900,0,0,0,2,2,0,0,1,1
3.2,0,0,0,0,1,0,0,0,0,0
3.7,685,0,0,2,2,2,0,0,0,1
3.66,750,6,0,0,1,1,0,0,0,1
3.5,630,0,0,0,2,0,0,2,1,1
4.08,0,0,0,0,3,0,0,0,0,1
3.5,840,0,0,0,0,1,0,0,0,1
3.9,0,0,0,0,0,0,0,2,2,1
4.09,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0
2.86,0,0,0,0,3,0,0,0,0,0
3.28,0,0,0,0,0,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,1,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0,0
3.88,0,0,0,0,0,0,0,0,0,0
4,0,7,0,0,1,1,0,1,2,1
3.25,0,0,0,0,1,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0
3.44,675,0,0,0,1,0,0,0,0,0
3.22,0,0,0,0,1,0,0,0,1,0
2.69,0,0,0,0,0,2,0,1,0,1
4.5,0,0,0,0,5,0,0,0,1,1
4.28,0,0,0,0,1,0,0,0,0,0
3.32,630,0,0,0,2,1,0,0,0,1
3.96,0,0,0,0,0,0,0,0,0,0
2.69,0,0,0,0,0,2,0,1,0,1
3.8,800,0,0,0,2,0,0,0,0,1
3.36,0,0,0,0,2,0,0,0,0,0
3.5,0,0,0,0,2,1,0,0,0,0
3.22,825,6,0,0,0,1,0,0,3,1
3.17,0,0,0,1,1,1,1,0,1,1
3.3,740,0,0,0,0,0,0,0,0,0
2.29,0,0,0,0,4,1,0,0,0,1
4.17,785,6,0,2,4,0,0,0,0,1
4.17,785,6,0,2,4,0,0,0,0,1
3.08,800,0,0,0,4,0,0,0,0,1
3.7,0,0,2,0,2,0,2,0,1,1
3.72,0,0,2,0,1,0,2,0,1,1
4.17,730,6,0,1,4,0,0,0,0,1
3.8,760,0,0,0,2,0,2,1,0,1
3.5,0,0,0,0,3,0,1,0,0,0
3.8,780,0,0,0,1,0,0,1,0,1
2.5,0,0,0,0,3,0,0,0,0,0
3.61,0,0,2,0,3,0,1,0,3,1
3.8,780,5,0,0,1,0,0,1,0,1
3.29,0,0,0,0,2,0,0,0,0,0
3.83,0,0,0,0,0,0,0,0,1,0
4,750,0,0,0,3,0,0,0,0,1
